Age,Gender,CGPA,Tenth_Percentage,Twelfth_Percentage,Aptitude_Score,Coding_Score,Communication_Score,Technical_Skills,Certifications,Internship_Experience,Projects,Placement_Status
20,Male,7.45,64.06,83.21,75,31,89,6,1,2,2,Not Placed
21,Female,8.17,55.77,92.1,78,23,52,5,4,1,1,Not Placed
20,Female,5.61,65.63,86.51,75,78,83,3,2,1,4,Placed
21,Male,6.05,87.37,95.29,55,85,97,8,0,2,2,Placed
21,Male,6.02,97.78,57.99,41,85,86,10,3,0,2,Placed
22,Female,8.37,69.49,78.87,80,78,89,10,4,1,0,Placed
20,Female,8.33,77.14,76.86,78,48,84,2,0,1,2,Not Placed
20,Male,8.16,83.18,62.54,62,20,81,5,4,2,5,Placed
23,Male,9.39,70.25,81.83,89,70,96,5,0,0,1,Placed
21,Male,8.08,76.38,58.81,66,47,57,2,3,0,1,Not Placed
21,Female,8.62,76.05,87.89,74,72,96,3,3,2,1,Not Placed
22,Female,5.99,56.97,70.8,76,91,56,2,1,2,0,Not Placed
21,Female,9.02,91.3,96.2,45,47,61,4,5,0,4,Placed
22,Female,8.22,95.62,97.47,69,82,69,1,5,2,5,Placed
23,Female,6.66,62.78,64.18,98,27,33,6,1,2,5,Not Placed
20,Female,5.93,96.7,86.24,70,94,64,1,2,1,2,Not Placed
22,Male,5.89,83.73,83.25,35,67,54,2,1,2,1,Not Placed
20,Male,9.0,56.59,68.39,87,27,97,6,5,0,3,Placed
22,Male,8.04,77.64,67.7,54,63,70,8,2,1,4,Placed
23,Male,6.62,80.17,69.06,31,84,34,1,3,1,2,Not Placed
23,Female,8.94,65.21,87.92,59,62,32,1,2,2,2,Not Placed
20,Female,8.49,71.05,61.83,71,61,58,6,4,2,0,Placed
23,Male,8.48,81.58,56.65,38,97,77,10,5,1,4,Placed
21,Male,5.66,93.73,87.47,42,52,85,9,4,2,4,Placed
23,Male,6.13,71.53,56.02,36,67,91,10,0,1,1,Not Placed
20,Male,8.09,83.0,72.63,72,30,58,7,0,1,4,Not Placed
23,Female,6.09,74.93,57.97,47,46,57,7,1,2,1,Not Placed
22,Female,8.06,74.41,57.64,75,27,97,8,5,0,4,Not Placed
21,Female,6.7,96.67,68.9,98,40,54,4,2,1,0,Not Placed
21,Male,7.64,96.92,89.91,75,43,87,8,3,1,5,Placed
23,Female,6.63,83.71,95.45,98,27,100,3,4,2,0,Placed
20,Male,9.43,63.58,60.51,37,62,45,10,4,0,0,Placed
20,Female,6.68,96.71,57.52,86,22,71,5,3,0,0,Not Placed
23,Female,7.76,66.17,89.65,81,72,35,4,0,2,1,Not Placed
20,Male,6.83,92.54,56.1,84,41,38,9,5,0,0,Not Placed
22,Female,6.26,97.84,87.17,78,73,91,3,0,1,3,Not Placed
21,Female,7.13,92.34,61.4,70,68,65,1,4,2,0,Not Placed
21,Female,7.71,67.74,80.22,39,97,86,4,5,0,1,Not Placed
20,Female,8.43,97.88,82.96,86,96,76,4,0,2,0,Not Placed
20,Male,5.56,72.96,66.82,45,34,90,6,3,1,4,Not Placed
20,Female,8.94,83.24,61.88,48,28,50,6,3,0,0,Not Placed
21,Female,6.99,77.05,59.48,71,99,65,6,0,1,5,Not Placed
21,Female,7.63,70.76,58.47,80,56,94,3,5,1,0,Placed
20,Female,7.89,95.3,92.07,40,44,86,6,2,1,2,Not Placed
21,Male,7.89,60.18,66.72,32,36,85,3,0,1,5,Not Placed
23,Female,9.48,84.22,82.6,50,92,70,6,3,2,0,Placed
22,Male,8.5,62.96,77.32,36,66,74,9,3,1,4,Placed
22,Female,7.3,97.47,85.88,86,22,64,9,0,2,5,Placed
20,Female,7.38,95.27,86.05,91,66,35,8,3,0,2,Placed
21,Female,9.67,94.75,70.12,77,43,39,9,3,1,3,Placed
20,Male,7.21,56.81,86.69,92,66,82,5,1,2,4,Not Placed
21,Male,6.23,82.2,82.56,51,72,52,5,4,2,5,Not Placed
20,Female,9.35,76.32,69.95,48,92,95,8,5,0,0,Placed
22,Male,8.04,63.85,68.14,41,66,78,8,5,2,2,Placed
22,Female,6.54,81.7,61.29,57,29,34,6,5,0,1,Not Placed
23,Female,7.23,70.08,64.12,99,67,44,10,2,0,5,Placed
20,Female,8.89,91.58,88.63,98,79,76,5,1,2,2,Placed
23,Female,9.75,94.37,65.47,44,30,30,2,3,2,5,Placed
23,Male,5.77,76.01,73.9,76,98,91,10,2,1,0,Not Placed
22,Female,7.62,64.38,81.11,49,91,86,8,5,1,2,Placed
20,Female,7.05,80.95,87.31,64,91,45,6,3,2,4,Not Placed
20,Male,6.57,68.35,59.22,84,52,96,5,5,2,3,Placed
21,Male,7.21,64.43,88.31,94,43,76,9,0,1,5,Placed
21,Male,5.82,55.25,75.77,75,63,78,1,2,2,5,Placed
23,Female,6.61,95.85,78.51,55,64,89,8,4,2,2,Not Placed
22,Female,6.06,68.56,77.58,70,64,100,4,2,1,4,Not Placed
21,Female,8.36,81.57,64.49,85,89,53,9,5,0,5,Placed
23,Male,5.99,65.02,89.66,90,75,33,8,3,1,0,Not Placed
22,Male,7.39,96.63,70.81,100,46,78,6,4,2,0,Placed
22,Male,9.18,58.16,72.26,92,47,30,9,5,0,5,Placed
20,Male,6.4,73.86,92.04,68,56,57,2,2,2,0,Not Placed
23,Female,8.35,74.89,73.58,93,35,65,8,0,2,3,Placed
21,Female,8.61,97.43,73.82,73,60,88,2,5,0,1,Placed
20,Female,6.16,72.07,61.46,76,94,78,8,1,0,4,Placed
20,Male,7.22,86.46,88.08,46,66,71,3,0,1,2,Not Placed
21,Female,7.32,85.49,70.04,100,40,83,2,4,1,4,Placed
22,Female,6.97,80.8,71.16,64,44,88,1,4,0,2,Not Placed
21,Male,7.0,67.35,74.43,88,72,63,10,1,1,1,Placed
22,Male,7.15,95.03,95.12,49,67,91,8,0,1,5,Placed
22,Male,7.03,57.07,80.27,93,45,63,5,1,2,4,Not Placed
20,Female,7.36,81.6,58.77,63,35,61,6,4,2,5,Placed
20,Female,7.62,72.96,80.56,43,91,86,2,0,1,1,Not Placed
23,Female,5.72,87.78,73.48,88,27,98,8,1,2,0,Not Placed
22,Female,5.85,82.17,92.33,64,46,56,9,4,2,0,Placed
20,Female,5.52,61.86,60.22,56,32,52,7,0,1,2,Not Placed
23,Male,6.1,95.54,84.77,54,66,76,7,5,1,2,Not Placed
20,Female,9.01,96.41,69.88,52,40,97,5,5,2,0,Placed
22,Female,7.87,77.84,74.29,74,76,38,7,3,2,5,Placed
23,Male,6.04,78.55,66.4,84,68,55,5,2,1,1,Not Placed
20,Female,8.6,61.13,65.95,62,66,51,6,1,2,4,Placed
21,Female,8.39,71.82,92.55,97,98,67,7,3,0,2,Placed
22,Male,8.65,92.78,66.74,60,99,68,2,5,2,4,Placed
20,Female,7.75,81.79,62.63,74,35,69,3,3,2,1,Placed
21,Female,7.81,96.96,82.69,86,21,92,7,2,0,0,Not Placed
21,Female,9.09,77.17,79.14,96,88,74,5,3,0,3,Placed
23,Female,9.79,70.95,63.49,70,72,37,6,5,1,4,Placed
21,Female,5.83,81.38,84.89,57,86,67,2,1,0,4,Not Placed
21,Female,9.58,73.39,59.12,61,54,82,10,3,2,4,Placed
22,Female,6.01,63.68,76.42,77,65,59,4,4,2,5,Placed
20,Male,5.61,94.79,55.33,62,65,82,8,5,0,0,Not Placed
22,Female,8.18,81.52,60.9,38,70,84,5,1,0,1,Not Placed
23,Male,7.76,83.68,80.95,57,57,95,1,5,0,5,Not Placed
22,Female,6.15,56.46,94.86,61,87,87,8,2,0,0,Not Placed
23,Female,6.93,92.49,81.45,37,56,81,10,1,2,5,Not Placed
23,Male,6.11,64.82,80.04,90,31,96,2,5,0,5,Not Placed
23,Female,6.08,87.99,81.27,99,71,66,4,3,1,0,Not Placed
20,Female,6.16,95.26,86.71,80,47,67,10,0,0,4,Placed
20,Female,6.2,72.6,81.45,55,88,35,5,2,2,5,Placed
20,Male,7.45,85.93,80.88,42,36,79,9,3,2,2,Not Placed
20,Male,7.7,58.48,83.59,61,20,44,7,2,1,0,Not Placed
20,Male,6.54,76.29,61.55,45,42,68,8,4,2,5,Placed
22,Male,8.94,61.38,70.29,83,52,59,2,2,0,1,Not Placed
23,Female,7.3,82.96,83.23,91,48,62,1,1,2,2,Not Placed
21,Male,7.52,75.39,66.04,71,70,34,4,1,1,3,Not Placed
23,Male,6.74,97.97,79.59,67,74,30,10,3,0,5,Placed
23,Male,7.83,85.21,93.78,97,90,50,4,3,2,3,Placed
20,Male,7.84,56.4,66.17,69,75,55,7,3,0,4,Not Placed
21,Male,9.01,75.35,63.37,74,28,78,8,5,1,5,Placed
21,Female,6.69,92.73,83.46,41,49,63,8,4,1,3,Placed
21,Male,6.48,68.71,79.39,97,40,55,2,5,1,3,Not Placed
22,Female,9.53,95.89,61.12,67,76,58,7,2,1,2,Placed
22,Female,5.98,88.53,58.48,80,36,91,8,5,2,1,Placed
23,Male,8.95,65.63,63.84,35,65,68,1,5,0,3,Placed
22,Male,8.71,84.25,70.49,49,80,44,6,5,0,2,Not Placed
23,Male,9.0,64.89,81.83,77,83,98,6,0,2,1,Placed
21,Male,8.92,66.79,97.86,69,60,46,10,4,0,4,Not Placed
21,Female,9.58,60.25,80.5,54,65,68,10,4,2,5,Placed
20,Female,6.08,68.92,76.76,54,43,62,6,5,2,4,Not Placed
21,Male,7.49,58.74,63.64,37,56,50,2,2,0,5,Not Placed
23,Female,7.44,76.42,67.59,85,44,69,9,4,1,5,Placed
20,Female,9.8,80.64,81.24,50,47,98,4,3,2,0,Placed
21,Female,5.85,78.09,68.95,77,38,60,10,2,2,2,Not Placed
20,Female,8.35,79.38,56.04,85,36,90,6,2,1,5,Placed
23,Male,9.14,91.99,88.76,79,31,58,2,1,0,5,Not Placed
23,Female,5.59,90.46,78.22,50,65,70,6,4,1,1,Not Placed
20,Female,5.62,72.28,72.67,94,89,30,1,0,0,1,Not Placed
20,Male,7.68,69.87,72.14,69,93,82,7,4,1,2,Placed
